ID,URL,Repo Name,Collection,MD Contents,C++ Contents,Python Contents
REPO_C39,https://github.com/pal-robotics/perception_blort,perception_blort,Repositories,{'Recognizer3D': 'LLPATH object contours & features drawn with green pose estimage object contours drawn with pur'},{'Recognizer3D': 'LLPATH object contours & features drawn with green pose estimage object contours drawn with pur'},
REPO_C40,https://github.com/pal-robotics/perception_blort,perception_blort,Repositories,{'Predictor': '); \t\t} Tukey estimator TODO evaluate optimal power of estimator (accuracy / robustness) \t\tsigma'},{'Predictor': '); \t\t} Tukey estimator TODO evaluate optimal power of estimator (accuracy / robustness) \t\tsigma'},
REPO_C41,https://github.com/Pitt-RAS/iarc7_vision,iarc7_vision,Repositories,"{'RoombaBlobDetector': 'on Fill out results True if the patch is red/green, false otherwise True if the patch is red/gr'}","{'RoombaBlobDetector': 'on Fill out results True if the patch is red/green, false otherwise True if the patch is red/gr'}",
REPO_C42,https://github.com/robotics-upo/upo_robot_navigation,upo_robot_navigation,Repositories,"{'capture': ' = 10mTransform pointCloud2 to pointCloudbluegreenredprintf(""\\naddObstacles!!! points.size: %u\\'}","{'capture': ' = 10mTransform pointCloud2 to pointCloudbluegreenredprintf(""\\naddObstacles!!! points.size: %u\\'}",
REPO_C43,https://github.com/robotics-upo/upo_robot_navigation,upo_robot_navigation,Repositories,"{'Yield': '::cout << ""red: "" << (unsigned int)red << "", green: "" << (unsigned int)green << "", blue: "" << ('}","{'Yield': '::cout << ""red: "" << (unsigned int)red << "", green: "" << (unsigned int)green << "", blue: "" << ('}",
REPO_C44,https://github.com/ridgeback/ridgeback_robot,ridgeback_robot,Repositories,{'ridgeback_hardware': ' Checks to see if power flag has been reset for each driver Process '},{'ridgeback_hardware': ' Checks to see if power flag has been reset for each driver Process '},
REPO_C45,https://github.com/AIS-Bonn/nimbro_network,nimbro_network,Repositories,{'qcustomplot': 'cond char as indicator for beautiful decimal powers: interpret third char as indicator for dot '},{'qcustomplot': 'cond char as indicator for beautiful decimal powers: interpret third char as indicator for dot '},
REPO_C46,https://github.com/dxydas/ros-bioloid,ros-bioloid,Repositories,{'qcustomplot': 'cond char as indicator for beautiful decimal powers: interpret third char as indicator for dot '},{'qcustomplot': 'cond char as indicator for beautiful decimal powers: interpret third char as indicator for dot '},
REPO_C47,https://github.com/lucasw/imgui_ros,imgui_ros,Repositories,"{'bag_console': 'cs in columns Color code according to level: green, white, yellow, red, dark red (or black on r'}","{'bag_console': 'cs in columns Color code according to level: green, white, yellow, red, dark red (or black on r'}",
REPO_C48,https://github.com/lucasw/imgui_ros,imgui_ros,Repositories,{'image': 'ader to copy the red channel to the blue and green - there is no longer a GL_LUMINANCE https://'},{'image': 'ader to copy the red channel to the blue and green - there is no longer a GL_LUMINANCE https://'},
REPO_C49,https://github.com/mavlink/mavros,mavros,Repositories,"{'enum_to_string': ' and going down. System just initialized its power-down sequence, will shut down now. System is'}","{'enum_to_string': ' and going down. System just initialized its power-down sequence, will shut down now. System is'}",
REPO_C50,https://github.com/mavlink/mavros,mavros,Repositories,"{'sys_status': 'g.outl(""default:"")     cog.outl(""\\tbatt_msg->power_supply_technology = BatteryMsg::POWER_SUPPLY'}","{'sys_status': 'g.outl(""default:"")     cog.outl(""\\tbatt_msg->power_supply_technology = BatteryMsg::POWER_SUPPLY'}",
REPO_C51,https://github.com/ros-perception/image_pipeline,image_pipeline,Repositories,{'edge_aware': 'step     b g b line_step2    g r g red pixel green pixel blue; Bayer         0 1 2         0   '},{'edge_aware': 'step     b g b line_step2    g r g red pixel green pixel blue; Bayer         0 1 2         0   '},
REPO_C52,https://github.com/UTNuclearRoboticsPublic/jog_arm,jog_arm,Repositories,{'jog_arm_server': 'ed thresholds. I scaled exponentially (cubic power) so velocity drops off quickly after the thr'},{'jog_arm_server': 'ed thresholds. I scaled exponentially (cubic power) so velocity drops off quickly after the thr'},
REPO_C53,https://github.com/CalPolyRobotics/IGVC-ROS,IGVC-ROS,Repositories,{'occupancy_grid_plugin': ' plugin Standard gray map palette values red green blue alpha illegal positive values in green '},{'occupancy_grid_plugin': ' plugin Standard gray map palette values red green blue alpha illegal positive values in green '},
REPO_C54,https://github.com/RoboJackets/roboracing-software,roboracing-software,Repositories,"{'cone_bottom_detector': 'f the Orange Color Thresholding Dilate, make green overlay, and resize image to initial dimensi'}","{'cone_bottom_detector': 'f the Orange Color Thresholding Dilate, make green overlay, and resize image to initial dimensi'}",
REPO_C55,https://github.com/RoboJackets/roboracing-software,roboracing-software,Repositories,"{'startlight_watcher': 'eeing red, change this formula. red - blue - green@note: if you have trouble seeing green, chan'}","{'startlight_watcher': 'eeing red, change this formula. red - blue - green@note: if you have trouble seeing green, chan'}",
REPO_C56,https://github.com/IGVC-IITK/computer_vision,computer_vision,Repositories,{'gslicr_ros': 'e colour values for each superpixel black to green for avoiding divide-by-zero error average-re'},{'gslicr_ros': 'e colour values for each superpixel black to green for avoiding divide-by-zero error average-re'},
REPO_C57,https://github.com/IGVC-IITK/computer_vision,computer_vision,Repositories,"{'rgb-gen': '<<(int)(red_sum[i-1]/count[i-1])<<"" ""<<(int)(green_sum[i-1]/count[i-1])<<"" ""<<(int)(blue_sum[i-'}","{'rgb-gen': '<<(int)(red_sum[i-1]/count[i-1])<<"" ""<<(int)(green_sum[i-1]/count[i-1])<<"" ""<<(int)(blue_sum[i-'}",
REPO_C58,https://github.com/kucars/haptic_teleoperation,haptic_teleoperation,Repositories,"{'SlaveController': 'stop(0,0) > -1.0 && !lastPositionUpdate) && (battery_per > 30) // this code has been used when cr'}","{'SlaveController': 'stop(0,0) > -1.0 && !lastPositionUpdate) && (battery_per > 30) // this code has been used when cr'}",
REPO_C59,https://github.com/utexas-bwi/segbot,segbot,Repositories,"{'battery_diagnostics': 'egator config file expectsDoes there exist a battery profile? If so, acquire the parameters it de'}","{'battery_diagnostics': 'egator config file expectsDoes there exist a battery profile? If so, acquire the parameters it de'}",
REPO_C60,https://github.com/utexas-bwi/segbot,segbot,Repositories,{'inv_mpu': 's appear on the primary.  1 if device in low-power accel-only mode.  1 if interrupts are only t'},{'inv_mpu': 's appear on the primary.  1 if device in low-power accel-only mode.  1 if interrupts are only t'},
REPO_C61,https://github.com/RoboSherlock/robosherlock,robosherlock,Repositories,"{'ObjectIdentityResolution': '.dae"";add color if we have somedefault color green Don\'t forget to set the alpha! ignore object'}","{'ObjectIdentityResolution': '.dae"";add color if we have somedefault color green Don\'t forget to set the alpha! ignore object'}",
REPO_C62,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,{'youbot_battery_monitor': 'ite IP addresses to the lcd display retrieve battery information call the beep command dashboard '},{'youbot_battery_monitor': 'ite IP addresses to the lcd display retrieve battery information call the beep command dashboard '},
REPO_C63,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,"{'PoseEstimation6DNode': 'oud3D;\ttmpModel->readFromTxtFile(""test_model_green_1.txt"");\tmodelDataBase.push_back(tmpModel);\t'}","{'PoseEstimation6DNode': 'oud3D;\ttmpModel->readFromTxtFile(""test_model_green_1.txt"");\tmodelDataBase.push_back(tmpModel);\t'}",
REPO_C64,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,{'EuclideanClustering': 'et_cast<unsigned char*>(&r);\t\t\tunsigned char green= *reinterpret_cast<unsigned char*>(&g);\t\t\tun'},{'EuclideanClustering': 'et_cast<unsigned char*>(&r);\t\t\tunsigned char green= *reinterpret_cast<unsigned char*>(&g);\t\t\tun'},
REPO_C65,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,{'xxmatrix': '  take the inverse of the source if negative power  and copy the workmatrix to the destination '},{'xxmatrix': '  take the inverse of the source if negative power  and copy the workmatrix to the destination '},
REPO_C66,https://github.com/PR2/pr2_controllers,pr2_controllers,Repositories,"{'joint_spline_trajectory_controller': ""g on packages that aren't mature yet. create powers of time: Gets all of the joints Ensures tha""}","{'joint_spline_trajectory_controller': ""g on packages that aren't mature yet. create powers of time: Gets all of the joints Ensures tha""}",
REPO_C67,https://github.com/PR2/pr2_controllers,pr2_controllers,Repositories,"{'joint_trajectory_action_controller': ""g on packages that aren't mature yet. create powers of time: Gets all of the joints Ensures tha""}","{'joint_trajectory_action_controller': ""g on packages that aren't mature yet. create powers of time: Gets all of the joints Ensures tha""}",
REPO_C68,https://github.com/ros-planning/moveit,moveit,Repositories,{'simulation_widget': 'elements in black Show the added elements in green Position of the first transmission element i'},{'simulation_widget': 'elements in black Show the added elements in green Position of the first transmission element i'},
REPO_C69,https://github.com/ros-planning/moveit,moveit,Repositories,{'chomp_trajectory': ' the memory: now copy the trajectories over: powers of the time duration calculate the spline c'},{'chomp_trajectory': ' the memory: now copy the trajectories over: powers of the time duration calculate the spline c'},
REPO_C70,https://github.com/ros-planning/moveit,moveit,Repositories,{'collision_check_thread': 'ed thresholds. I scaled exponentially (cubic power) so velocity drops off quickly after the thr'},{'collision_check_thread': 'ed thresholds. I scaled exponentially (cubic power) so velocity drops off quickly after the thr'},
REPO_C71,https://github.com/AcutronicRobotics/moveit2,moveit2,Repositories,{'simulation_widget': 'elements in black Show the added elements in green Position of the first transmission element i'},{'simulation_widget': 'elements in black Show the added elements in green Position of the first transmission element i'},
REPO_C72,https://github.com/AcutronicRobotics/moveit2,moveit2,Repositories,{'chomp_trajectory': ' the memory: now copy the trajectories over: powers of the time duration calculate the spline c'},{'chomp_trajectory': ' the memory: now copy the trajectories over: powers of the time duration calculate the spline c'},
REPO_C73,https://github.com/felixendres/rgbdslam_v2,rgbdslam_v2,Repositories,{'glviewer': 'are)No segment: original colorright segment: greenwrong segment: redsegment_to_optimize == 0bla'},{'glviewer': 'are)No segment: original colorright segment: greenwrong segment: redsegment_to_optimize == 0bla'},
REPO_C74,https://github.com/felixendres/rgbdslam_v2,rgbdslam_v2,Repositories,"{'graph_mgr_io': ""n't visualize, if nobody's lookingred outliergreen inlier, newer endpointyellow inlier, earlier""}","{'graph_mgr_io': ""n't visualize, if nobody's lookingred outliergreen inlier, newer endpointyellow inlier, earlier""}",
REPO_C75,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'color_angles_test': 'r testing Construct a blue image Construct a green image Construct a red image/ Tests ColorAngl'},{'color_angles_test': 'r testing Construct a blue image Construct a green image Construct a red image/ Tests ColorAngl'},
REPO_C76,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,"{'hard_obstacle_detector': '************** If value is negative, make it green for visualizationcv::imshow(title, scaledIma'}","{'hard_obstacle_detector': '************** If value is negative, make it green for visualizationcv::imshow(title, scaledIma'}",
REPO_C77,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'xmega_hardware_interface': '*********************** connect and register power supply interface connect and register range '},{'xmega_hardware_interface': '*********************** connect and register power supply interface connect and register range '},
REPO_C78,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,"{'xmega_serial_interface': ""up ' ' after sensor id ' ' after sensor type battery, not i2c sensor encoder, not i2c sensor ' ' ""}","{'xmega_serial_interface': ""up ' ' after sensor id ' ' after sensor type battery, not i2c sensor encoder, not i2c sensor ' ' ""}",
REPO_C79,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'arm_hardware_interface': ' range sensor interface connect and register battery interface connect and register joint state i'},{'arm_hardware_interface': ' range sensor interface connect and register battery interface connect and register joint state i'},
REPO_C80,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'gio_gazebo_interface': 'egister the co2 sensor interface Electronics battery sensor Motors battery sensor Connect and reg'},{'gio_gazebo_interface': 'egister the co2 sensor interface Electronics battery sensor Motors battery sensor Connect and reg'},
REPO_C81,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'pandora_co2_plugin': ' count Decrement count co2 is represented by green namespace gazebo'},{'pandora_co2_plugin': ' count Decrement count co2 is represented by green namespace gazebo'},
REPO_C82,https://github.com/jhu-lcsr/sp_segmenter,sp_segmenter,Repositories,"{'WKmeans': 'cerr<<""Iter-""<<cur_counter<<"" Energy: ""<<cur_energy<<std::endl;Sparse Data Kmeans///////////////'}","{'WKmeans': 'cerr<<""Iter-""<<cur_counter<<"" Energy: ""<<cur_energy<<std::endl;Sparse Data Kmeans///////////////'}",
REPO_C83,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'scene_segmentation': ' Graph-based Image Segmentation wrapper draw green rectangles params for segmentation Efficient'},{'scene_segmentation': ' Graph-based Image Segmentation wrapper draw green rectangles params for segmentation Efficient'},
REPO_C84,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'basic_pts_and_lines': 'idth %EndTag(SCALE)% %Tag(COLOR)% Points are green Line strip is blue Line list is red %EndTag('},{'basic_pts_and_lines': 'idth %EndTag(SCALE)% %Tag(COLOR)% Points are green Line strip is blue Line list is red %EndTag('},
REPO_C85,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'Collections': 'www.gnu.org/licenses/>. red green blue draw outline in black Calculate eigenva'},{'Collections': 'www.gnu.org/licenses/>. red green blue draw outline in black Calculate eigenva'},
REPO_C86,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'street_name_detector_node': ' = image.clone();    // pre-processing: keep green channel only for blobs    cv::Mat im_channel'},{'street_name_detector_node': ' = image.clone();    // pre-processing: keep green channel only for blobs    cv::Mat im_channel'},
REPO_C87,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,"{'common_functions': ', skip it. Draw tag outline with edge colors green, blue, blue, red (going counter-clockwise, s'}","{'common_functions': ', skip it. Draw tag outline with edge colors green, blue, blue, red (going counter-clockwise, s'}",
REPO_C88,https://github.com/billieblaze/ROS_Rover_addons,ROS_Rover_addons,Repositories,{'AccelStepper': '00 1010 0010 0110 01000101 00011001 Prevents power consumption on the outputs Handles inversion'},{'AccelStepper': '00 1010 0010 0110 01000101 00011001 Prevents power consumption on the outputs Handles inversion'},
REPO_C89,https://github.com/KCL-Planning/ROSPlan,ROSPlan,Repositories,"{'EsterelPlanDispatcher': 'acter "","" with a "")"" edges decide edge color green if conditional edge, red if start to end, bl'}","{'EsterelPlanDispatcher': 'acter "","" with a "")"" edges decide edge color green if conditional edge, red if start to end, bl'}",
REPO_C90,https://github.com/KCL-Planning/ROSPlan,ROSPlan,Repositories,"{'Polynomial': '\\n"";H_c(p(t)) = p(ct) for c in Realsc to the power of ians.setCoeff(i,p.getCoeff(i)*pow(c,i));n'}","{'Polynomial': '\\n"";H_c(p(t)) = p(ct) for c in Realsc to the power of ians.setCoeff(i,p.getCoeff(i)*pow(c,i));n'}",
REPO_C91,https://github.com/KCL-Planning/ROSPlan,ROSPlan,Repositories,"{'Validator': 'ellow to orangewhite to greyswap ordering of green and magentafudge factor, qbezier and normal '}","{'Validator': 'ellow to orangewhite to greyswap ordering of green and magentafudge factor, qbezier and normal '}",
REPO_C92,https://github.com/start-jsk/rtmros_hironx,rtmros_hironx,Repositories,"{'iob': '5/////////6/////////7/////////8 RENAME: read_power_state - Done, TODO static test RENAME write_'}","{'iob': '5/////////6/////////7/////////8 RENAME: read_power_state - Done, TODO static test RENAME write_'}",
REPO_C93,https://github.com/ildoonet/tf-pose-estimation,tf-pose-estimation,Repositories,{'pafprocess_wrap': 'in Python 3 nb_dividenb_remaindernb_divmodnb_powernb_negativenb_positivenb_absolutenb_nonzeronb'},{'pafprocess_wrap': 'in Python 3 nb_dividenb_remaindernb_divmodnb_powernb_negativenb_positivenb_absolutenb_nonzeronb'},
REPO_C94,https://github.com/yujinrobot/kobuki,kobuki,Repositories,"{'diagnostics': ""**************** TODO: how can we tell which battery is in use? i.e. fully charged TODO: what's t""}","{'diagnostics': ""**************** TODO: how can we tell which battery is in use? i.e. fully charged TODO: what's t""}",
REPO_C95,https://github.com/sbrodeur/ros-icreate-bbb,ros-icreate-bbb,Repositories,"{'driver': "" Start in full control mode Show robot's battery level Set frame_id's Setup services Setup su""}","{'driver': "" Start in full control mode Show robot's battery level Set frame_id's Setup services Setup su""}",
REPO_C96,https://github.com/inomuh/evapi_ros,evapi_ros,Repositories,"{'L3G': 'he gyro and places it in normal mode. Normal power mode, all axes enabled 2000 dps full scale'}","{'L3G': 'he gyro and places it in normal mode. Normal power mode, all axes enabled 2000 dps full scale'}",
REPO_C97,https://github.com/inomuh/evapi_ros,evapi_ros,Repositories,{'LSM303': ') MFS = 01 (4 gauss full scale) MLP = 0 (low power mode off) MD = 00 (continuous-conversion mod'},{'LSM303': ') MFS = 01 (4 gauss full scale) MLP = 0 (low power mode off) MD = 00 (continuous-conversion mod'},
REPO_C98,https://github.com/inomuh/evapi_ros,evapi_ros,Repositories,{'evarobot_battery': 'CC pin disabled High Voltage Low voltage Low battery Charging Discharging Fully charged'},{'evarobot_battery': 'CC pin disabled High Voltage Low voltage Low battery Charging Discharging Fully charged'},
REPO_C99,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,SwarmBaseCode-ROS,Repositories,"{'sbridge': ""ng at the same time, it will not have enough power to carry out each of those at it's full valu""}","{'sbridge': ""ng at the same time, it will not have enough power to carry out each of those at it's full valu""}",
REPO_C100,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,SwarmBaseCode-ROS,Repositories,"{'rover_gui_plugin': 'n it deselected Currently, we cannot use the power law distribution with custon numbers of cube'}","{'rover_gui_plugin': 'n it deselected Currently, we cannot use the power law distribution with custon numbers of cube'}",
REPO_C101,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,SwarmBaseCode-ROS,Repositories,{'MapFrame': ' Draw rover origin crosshairs painter.setPen(green);map_data->getEKFPath(rover_to_display).begi'},{'MapFrame': ' Draw rover origin crosshairs painter.setPen(green);map_data->getEKFPath(rover_to_display).begi'},
REPO_C102,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,SwarmBaseCode-ROS,Repositories,{'LSM303': 's full scale) 0x00 = 0b00000000 MLP = 0 (low power mode off); MD = 00 (continuous-conversion mo'},{'LSM303': 's full scale) 0x00 = 0b00000000 MLP = 0 (low power mode off); MD = 00 (continuous-conversion mo'},
REPO_C103,https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'LidarObstacleManager': 'ocks TODO: Make the scale a param Points are green TODO: Make this a param TODO: Should be a pa'},{'LidarObstacleManager': 'ocks TODO: Make the scale a param Points are green TODO: Make this a param TODO: Should be a pa'},
REPO_C104,https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'DragRaceNode': 'en while staying within the boundaries If no green light has been detected stop. Publish our de'},{'DragRaceNode': 'en while staying within the boundaries If no green light has been detected stop. Publish our de'},
REPO_C105,https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'CircleDetection': 'bout fitting a long to an int non-issue Draw green circles around object'},{'CircleDetection': 'bout fitting a long to an int non-issue Draw green circles around object'},
REPO_C106,https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'HSVFilterNode': 'ave an image to get the rest) Filter out non-green colors If enough time has passed update filt'},{'HSVFilterNode': 'ave an image to get the rest) Filter out non-green colors If enough time has passed update filt'},
REPO_C107,https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'DBSCAN': 'verhead in creating multiple threads can overpower time gained from    multi threading. for cur'},{'DBSCAN': 'verhead in creating multiple threads can overpower time gained from    multi threading. for cur'},
REPO_C108,https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'utils-test': 'ynomial where the coefficient of the highest power is 0 y = 0x^3 + x^2 y = 0 y = -32x^31 + 4x^3'},{'utils-test': 'ynomial where the coefficient of the highest power is 0 y = 0x^3 + x^2 y = 0 y = -32x^31 + 4x^3'},
REPO_C109,https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'bigint_kernel_2': 'ore complex  O(n*logn) algorithm make size a power of 2 allocate some temporary space so we can'},{'bigint_kernel_2': 'ore complex  O(n*logn) algorithm make size a power of 2 allocate some temporary space so we can'},
