ID,URL,Collection,Title,Contents,Battery,Energy,Power,Sustainab,Green,Included,Notes
SO9,https://stackoverflow.com/questions/27842373/link-library-correct-with-ros-and-cmake,StackOverflow,Link library correct with ROS and cmake,", but nothing have worked so far. I'm pretty green, when it comes to ROS and CMake, so I'm not",0,0,0,0,1,,
SO10,https://stackoverflow.com/questions/59778016/simulating-battery-life-of-a-turtlebot-3-in-gazebo,StackOverflow,Simulating battery life of a Turtlebot 3 in Gazebo,e I can drive around a Turtlebot 3 while its battery state is simulated.I have read about the Gaz,4,0,0,0,0,,
SO11,https://stackoverflow.com/questions/59884290/ros-error-while-mapping-using-kinect-camera-not-received-any-frames-since-5-sec,StackOverflow,ROS error while mapping using Kinect camera ‚ÄúNot received any frames since 5 seconds‚Äù,at bottom) : The led on the Kinect goes from green to red when I press play to map. I am using,0,0,0,0,1,,
SO12,https://stackoverflow.com/questions/57530052/i-cant-find-ros-when-i-use-cmake-to-compile,StackOverflow,I can't find ROS when I use CMAKE to compile,"t place.(If this answers your question, that green check mark is friendly :)ros-${ROS_DISTRO}-d",0,0,0,0,1,,
SO13,https://stackoverflow.com/questions/37792280/translating-cartesian-coordinates-from-hand-frame-to-world-frame-ros-baxter,StackOverflow,Translating Cartesian Coordinates from Hand frame to World Frame: ROS & Baxter (python),I were you I would ask on ROS forum. Using a powerful library called you can easily transform,0,0,1,0,0,,
SO14,https://stackoverflow.com/questions/46784514/running-camera-calibration-node-in-raspberry-pi-in-ros-indigo,StackOverflow,Running camera calibration node in Raspberry pi in ROS Indigo,"on the Pi. Do the calibration remotely on a powerful pc.On the Pi, just launch the capture:whe",0,0,1,0,0,,
SO15,https://stackoverflow.com/questions/54935240/robot-reverses-at-high-speed-before-following-path-given-by-ros-nav-stack,StackOverflow,Robot reverses at high speed before following path given by ros nav stack,of how it looks on rviz. The thinner line in green is the plan generated by ros nav stack. The,0,0,0,0,2,,
SO16,https://stackoverflow.com/questions/42150311/should-i-make-a-large-function-atomic-in-order-to-benchmark-it-accurately,StackOverflow,Should I make a large function atomic in order to benchmark it accurately?,"algorithm like several layers of CPU caches, power saving features of your CPU, etc... If you a",0,0,1,0,0,,
SO17,https://stackoverflow.com/questions/44703102/what-is-the-difference-between-the-point-and-vector3-geometry-message-if-theyre,StackOverflow,What is the difference between the Point and Vector3 geometry message if they're exactly the same?,"oints, velocities, etc. As with Colors (red, green, blue) and Dates (year, month, day) and many",0,0,0,0,1,,
SO18,https://stackoverflow.com/questions/26230545/ros-package-64-bit-vs-32-bit-problems-in-execution,StackOverflow,ROS package: 64 bit vs 32 bit.Problems in execution,"xecution problems were due to the processing power difference between 32 and 64 bit, and also d",0,0,1,0,0,,
SO19,https://stackoverflow.com/questions/58688023/roslaunch-activation-failure-what-should-i-do,StackOverflow,roslaunch activation failure what should i do?,enabled in DJI assistant2. Close everything power on and connect to DJI assistant 2 again to v,0,0,1,0,1,,
SO20,https://stackoverflow.com/questions/42136618/increase-the-precision-of-the-values-returned-by-the-heart-beat-sensor-on-a-tize,StackOverflow,Increase the precision of the values returned by the heart beat sensor on a Tizen device,"_status"").innerHTML = 'Connected';
  tizen.power.request(""SCREEN"", ""SCREEN_DIM"");
 });
 
 ros.on",0,0,2,0,1,,
SO21,https://stackoverflow.com/questions/43161584/ros-bebop-autonomy-error-with-parrot-bebop-drone,StackOverflow,ROS bebop_autonomy error with parrot bebop drone,"bebop/bebop_driver/states/enable_commonstate_batterystatechanged: True
  * /bebop/bebop_driver/sta",1,0,0,0,0,,
SO22,https://stackoverflow.com/questions/48801772/gazebo-model-does-not-stand,StackOverflow,Gazebo model does not stand,"gba=""1 1 1 1""/>
 </material>
 
 <material name=""green"">
  <color rgba=""0 1 0 1""/>
 </material>
 
 <ma",0,0,0,0,3,,
SO23,https://stackoverflow.com/questions/51644717/using-rosserial-to-communicate-with-mx-64-dynamixel-motor,StackOverflow,Using rosserial to communicate with MX-64 DYNAMIXEL motor,"100); // Give time for Dynamixel to start on power-up
  nh.initNode();
  nh.subscribe(sub);
 
 }",0,0,1,0,0,,
SO24,https://stackoverflow.com/questions/23541974/replotting-graph-based-on-ros-subscribed-data,StackOverflow,Replotting graph based on ROS subscribed data,"enderAntialiased)
  pen = QPen(QColor('limegreen'))
  pen.setWidth(2)
  self.curve.setPen",0,0,0,0,1,,
SO25,https://stackoverflow.com/questions/12003050/opencv-and-ros-null-pointer-error-in-cvmat,StackOverflow,OpenCV and ROS: NULL Pointer error in cvMAT,"::do_some_magic( IplImage* img, int red, int green, int blue, int tolerance) {
 
  int radius",0,0,0,0,10,,
SO26,https://stackoverflow.com/questions/59131771/how-to-read-a-frame-raw-image-from-a-virtual-turtlebots-camera-in-gazebo-and,StackOverflow,"How to read a frame (raw_Image) from a virtual turtlebot's camera in Gazebo, and manipulate it using OpenCV and publish for viewing in Rviz","detect colors in this image (red, blue, and green) if they are at the center of the image, wit",0,0,0,0,4,,
SO27,https://stackoverflow.com/questions/37167238/how-do-we-dynamically-change-the-text-in-label-widget-of-tkinter-according-to-th,StackOverflow,How do we dynamically change the text in label widget of Tkinter according to the change of subscribed topic message?,"Label(frame, font=('times', 20, 'bold'), bg='green', textvariable = v)
 self.clock.pack(fill=BOT",0,0,0,0,2,,
SO28,https://stackoverflow.com/questions/53220885/how-to-install-ros-robotics-operating-system-on-raspberry-pi-3,StackOverflow,How to install ROS (Robotics Operating System) on Raspberry pi 3,"S image into a folder $ rostopic listOutput/battery_state
 /cmd_vel
 /diagnostics
 /joint_states
 /j",1,0,0,0,0,,
SO29,https://stackoverflow.com/questions/39994564/im-trying-to-publish-a-message-of-a-tizen-based-app-on-ros-using-rosbridge-and,StackOverflow,I'm trying to publish a message of a Tizen based app on ros using rosbridge and i get an error,"_status"").innerHTML = 'Connected';
  tizen.power.request(""SCREEN"", ""SCREEN_DIM"");
 });
 
 ros.on",0,0,3,0,1,,
SO30,https://stackoverflow.com/questions/58230939/android-nullpointerexception-double-java-lang-double-doublevalue,StackOverflow,Android: NullPointerException 'double java.lang.Double.doubleValue()',"erSupplyStatus.values()[batteryStateData.msg.powerSupplyStatus]));
  }",32,0,3,0,0,,
SO31,https://stackoverflow.com/questions/59650216/displaying-rgb8-pixel-data-in-browser,StackOverflow,Displaying rgb8 pixel data in-browser,"data[i + 1] = inData[j + 1]; // green
  data[i + 2] = inData[j + 2]; //",0,0,0,0,3,,
ROSD0,https://discourse.ros.org/t/research-about-the-battery-in-robots/5566,ROSDiscourse,Research about the battery in robots,"Dear community,We are researching on how to make robots programming more efficient and of ",0,0,0,0,0,,
ROSD1,https://discourse.ros.org/t/outdoor-autonomous-delivery-robot-powered-by-ros-2/12024,ROSDiscourse,Outdoor autonomous delivery robot powered by ROS 2,"Hi all,We released the last-mile delivery robot. Autonomous driving robots in the outdoors",0,0,0,0,0,,
ROSD2,https://discourse.ros.org/t/gapter-research-and-education-drone-with-ros/1663,ROSDiscourse,Gapter: Research and Education Drone with ROS,"puter Odroid XU4, which is proven to be more powerful than other single board computers, like R",0,0,1,0,0,,
ROSD3,https://discourse.ros.org/t/ros-industrial-community-meeting-september-24th/10738,ROSDiscourse,ROS-Industrial Community Meeting September 24th!,le as possible!Thanks again!Take this survey powered by surveymonkey.com. Create your own surve,0,0,1,0,0,,
ROSD4,https://discourse.ros.org/t/autonomous-selfie-drone-by-crazyflie-using-deep-learning-models/2414,ROSDiscourse,Autonomous Selfie Drone by Crazyflie using Deep Learning Models,1?We implement this on a Linux box with more power and then port it for Jetson TX2.Running on T,0,0,2,0,0,,
ROSD5,https://discourse.ros.org/t/pica-drone-made-to-learn-ros-with-mcu-and-fpga/2542,ROSDiscourse,PICA: Drone Made to Learn ROS with MCU and FPGA,"packed with serious processing and computing power, deploying an advanced FPGA, MCU and on-boar",0,0,1,0,0,,
ROSD6,https://discourse.ros.org/t/regional-robotics-sailing-winter-academy-at-zhejiang-university/6980,ROSDiscourse,Regional Robotics Sailing Winter Academy at Zhejiang University,onomous surface vehicles (ASV) that use wind power as the only propulsion source. The robot can,1,0,2,0,0,,
ROSD7,https://discourse.ros.org/t/openpose-implementation-for-mobile-embedded/3031,ROSDiscourse,Openpose Implementation for Mobile / Embedded,"odel to estimate human pose in realtime with powerful 'GPUs’
With that reimplementation, I have",0,0,2,0,0,,
ROSD8,https://discourse.ros.org/t/proposal-new-computer-vision-message-standards/1819,ROSDiscourse,Proposal - New Computer Vision Message Standards,"ght work equally well in terms of expressive power, with XML, we can be sure that both C++ and ",0,0,1,0,0,,
ROSD9,https://discourse.ros.org/t/hardware-accelerated-depth-camera-simulation/4817,ROSDiscourse,Hardware Accelerated Depth Camera Simulation,h scans but don’t really need the full blown power of Gazebo.I welcome feedback and contributio,0,0,1,0,0,,
ROSD10,https://discourse.ros.org/t/path-planning-with-external-axis/4451,ROSDiscourse,Path planning with external axis,"ypical example would be:
I want to build the green prism on the grey cylinder, the grey cylinde",0,0,0,0,2,,
ROSD11,https://discourse.ros.org/t/lidar-of-turtleblot3-starts-spinning-once-power-on/3332,ROSDiscourse,LIDAR of Turtleblot3 starts spinning once power on?,"f this…
Unfortunately, spinning the LDS with power up is an inherited feature of the sensor fir",0,0,1,0,0,,
ROSD12,https://discourse.ros.org/t/using-nuc-with-kobuki/489,ROSDiscourse,Using NUC with Kobuki,"e PC, so I wondered if anyone was aware of a power solution e.g. external battery that can conn",11,0,10,0,0,,
ROSD13,https://discourse.ros.org/t/a-do-it-yourself-turtlebot/3978,ROSDiscourse,A do-it-yourself Turtlebot,g for something a bit bigger and with a more powerful main computer. Do you have any other lead,3,0,8,0,0,,
ROSD14,https://discourse.ros.org/t/next-ros-quality-assurance-working-group-meeting-for-oct-2019/10806,ROSDiscourse,Next ROS Quality Assurance Working Group Meeting for Oct. 2019,Err:509,0,0,1,0,0,,
ROSD15,https://discourse.ros.org/t/upgrading-turtlebot3-with-better-lidar/6603,ROSDiscourse,Upgrading Turtlebot3 with better LIDAR,.  They look out the window and see that big green building and know that is where to make the,0,0,0,0,1,,
ROSD16,https://discourse.ros.org/t/guidelines-on-how-to-architect-ros-based-systems/12641,ROSDiscourse,Guidelines on how to architect ROS-based systems,"and I’d love to make sure your use-case is empowered.Powered by , best viewed with JavaScript e",0,0,1,0,0,,
ROSD17,https://discourse.ros.org/t/discussion-on-detection-of-people-and-obstacles-in-a-dense-crowd/2109,ROSDiscourse,Discussion on detection of people and obstacles in a dense crowd,does the “pinging” itself and will refuse to power into a fixed object.You may or may not want,1,0,4,0,0,,
ROSD18,https://discourse.ros.org/t/kobuki-base-external-power-supplies-can-be-set-off-by-default/271,ROSDiscourse,Kobuki base external power supplies: can be set OFF by default?,"When you switch on the robot, the external power supplies already provide current, until you ",0,0,3,0,0,,
ROSD19,https://discourse.ros.org/t/turtlebot-2e/307,ROSDiscourse,TurtleBot 2e,earch on state of art robotics. It is also a powerful  tool to teach and learn ROS (Roboalso th,0,0,1,0,0,,
ROSD20,https://discourse.ros.org/t/tb3-how-to-leverage-the-intel-ros-project/8655,ROSDiscourse,[TB3] How to leverage the Intel ROS Project,I work on that transition. I want to see the power of the ROS Intel Project to motivate me. Is,0,0,1,0,0,,
ROSD21,https://discourse.ros.org/t/design-by-contract/2405,ROSDiscourse,Design By Contract,a useful feature. Adding units to data is a powerful way to catch a common class of potentiall,0,0,1,0,0,,
ROSD22,https://discourse.ros.org/t/tb3-problem-to-connect-wiimote-to-turtlebot-3/2251,ROSDiscourse,[TB3] problem to connect wiimote to Turtlebot 3,"in 6 seconds.)
(If no blinking lights, press power button for ~3 seconds.)
Wiimote read error
R",0,0,1,0,0,,
ROSD23,https://discourse.ros.org/t/ros-quality-assurance-working-group-meeting-minutes-march-2018-meeting/4226,ROSDiscourse,ROS Quality Assurance Working Group meeting minutes - March 2018 Meeting,"zers and Unit Test for example are extremely powerful best practices, IMHO.DavideI agree, it is",0,0,1,0,0,,
ROSD24,https://discourse.ros.org/t/tb3-turtlebot3-burger-assembly-video/2340,ROSDiscourse,[TB3] TurtleBot3 Burger Assembly Video," confused.
I have to confess that connecting power pin to the Raspberry Pi 3 board required me ",0,0,1,0,0,,
ROSD25,https://discourse.ros.org/t/urdf-ng-ros2-urdf2-discussion/511,ROSDiscourse,[URDF-NG] ROS2 URDF2 discussion,"he committee that has actual decision making power should reflect the people who use it, and so",0,0,2,0,0,,
ROSD26,https://discourse.ros.org/t/turtlebot3-joule-stalled/2739,ROSDiscourse,Turtlebot3 - Joule stalled,independently if operated on 12V/3A external power supply or with the battery provided with the,1,0,4,0,0,,
ROSD27,https://discourse.ros.org/t/opencr-and-encoders/2335,ROSDiscourse,OpenCR and encoders,"ettings on the board.
Anyone know if the Low-power timer (LPTIM1) is being used for anything?
M",0,0,1,0,0,,
ROSD28,https://discourse.ros.org/t/cameras-with-360-fov-in-ros/1833,ROSDiscourse,Cameras with 360º FoV in ROS,hey charge). Maybe fixable with some kind of powered USB cable?My little work can be found here,0,0,1,0,0,,
ROSD29,https://discourse.ros.org/t/new-ros-compatible-3d-sensor-based-on-stereo-vision/3251,ROSDiscourse,New ROS-compatible 3D sensor based on stereo vision,.SceneScan is an embedded system that uses a powerful FPGA and state-of-the-art image processin,0,0,1,0,0,,
ROSD30,https://discourse.ros.org/t/tb3-turtlebot3-with-laser-distance-sensor-lds/1644,ROSDiscourse,[TB3] TurtleBot3 with Laser Distance Sensor (LDS),not return to operation until after I cycled power. I plan to conduct a more thorough study of,0,0,1,0,0,,
ROSD31,https://discourse.ros.org/t/building-a-better-turtlebot3/10533,ROSDiscourse,Building a better TurtleBot3,ult computer which is raspberry pi to a more powerful one such as Intel NUC or NVIDIA Jetson TX,0,0,3,0,0,,
ROSD32,https://discourse.ros.org/t/waffle-hdmi-no-signal/2687,ROSDiscourse,Waffle - HDMI no signal," HDMI-HDMI cable, still no signal.
I plugged power supply one openCR, keyboard, mouse and USB w",0,0,2,0,1,,
ROSD33,https://discourse.ros.org/t/dont-miss-eu-funding-for-ros-developments-via-rosin-ftps-next-cut-off-dates-june-14-sept-13-2019/8999,ROSDiscourse,"Don't miss EU funding for ROS developments via ROSIN FTPs - Next cut-off dates: June 14 & Sept 13, 2019","ent solutions (in terms of computation time, energy consumption) for a specified task. Currently",0,1,0,0,0,,
ROSD34,https://discourse.ros.org/t/installing-ubuntu-18-04-arm64v8-on-raspberry-pi-3/6094,ROSDiscourse,Installing Ubuntu 18.04 arm64v8 on Raspberry Pi 3,"t fighting we can use any distro, and really powerful hardware.So if there would be “easy way” ",0,0,1,0,0,,
ROSD35,https://discourse.ros.org/t/tb3-the-turtlebot3-teleoperation-example/865,ROSDiscourse,[TB3] The Turtlebot3 Teleoperation Example,implement this goal.I’d use a larger lithium battery so that it could last at least an afternoon,1,0,0,0,0,,
ROSD36,https://discourse.ros.org/t/how-to-setup-environment-to-test-latency-of-publisher-and-subscriber-scenarios/4167,ROSDiscourse,How to setup environment to test latency of publisher and subscriber scenarios,evelopment of robotic applications. The more powerful ones help to build such applications as a,0,0,1,0,0,,
ROSD37,https://discourse.ros.org/t/claiming-maintainership-for-ros-perception-pcl-msgs-perception-pcl/10813,ROSDiscourse,"Claiming maintainership for ros-perception/{pcl_msgs, perception_pcl, ...}","ing, I’d like to help get this out!Could the powers that be (?) please add  to ?Done! Happy mai",0,0,1,0,0,,
ROSD38,https://discourse.ros.org/t/ros2-embedded-sig-meeting-4/9959,ROSDiscourse,ROS2 Embedded SIG meeting #4,"have extended the scope to also include more powerful devices (e.g., those running Linux), and ",0,0,1,0,0,,
ROSD39,https://discourse.ros.org/t/is-turtlebot-the-right-platform-for-us/1892,ROSDiscourse,Is Turtlebot the right platform for us?,ion that the “burger” with a PI would not be powerful enough and that I would need to get a “Wa,0,0,2,0,0,,
ROSD40,https://discourse.ros.org/t/meta-ros-kinetic-runtime-issue-with-roscore/1407,ROSDiscourse,Meta-ros Kinetic runtime issue with roscore,"advice:Get a build machine with a lot of CPU power, RAM and a SSD disk to
build images much qui",0,0,1,0,0,,
ROSD41,https://discourse.ros.org/t/ros-only-simpler/12619,ROSDiscourse,ROS only simpler,"e wonderful replies. You have built a really powerful tool in ROS/ROS2, and it is clear to me t",0,0,1,0,0,,
ROSD42,https://discourse.ros.org/t/turtlebot3-impressions-so-far/2907,ROSDiscourse,Turtlebot3 - Impressions so far,ointing out in the instructions that charger power supply will also serve as a Joule power supp,0,0,5,0,0,,
ROSD43,https://discourse.ros.org/t/turtlebot-3-successfully-upload-alternative-ubuntu-desktop-16-04-to-joule/2224,ROSDiscourse,Turtlebot 3: Successfully upload Alternative Ubuntu Desktop 16.04 to Joule?,"e is my suggestion:
Step#1, disconnect 12VDC power supply.
Step#2, Connect PC to USB-B of the I",0,0,2,0,0,,
ROSD44,https://discourse.ros.org/t/the-moveit-2-journey-part-0-why-moveit-2/8461,ROSDiscourse,The MoveIt 2 journey (part 0): why MoveIt 2?,"x. Moreover, it generally requires to have a powerful-enough computer and, even in the best cas",0,0,1,0,0,,
ROSD45,https://discourse.ros.org/t/moveit-gsoc-project-2019/9579,ROSDiscourse,MoveIt GSoC Project 2019,Building robots with ROS is at the same time powerful and fun. Jens is excited to contribute to,0,0,1,0,0,,
ROSD46,https://discourse.ros.org/t/great-success-for-ros-on-darpa-subterranean-challenge/10391,ROSDiscourse,Great success for ROS on DARPA Subterranean Challenge!,Just here to mention that ROS powered (AFAIK) 11 out of the 12 teams that took p,0,0,1,0,0,,
ROSD47,https://discourse.ros.org/t/ros-ces2020-meetup/12181,ROSDiscourse,ROS@CES2020 Meetup,nity friends join. All robots showing up are powered by ROS (including one of ours) Here’s the,0,0,1,0,0,,
ROSD48,https://discourse.ros.org/t/confusion-about-eol-for-indigo/9065,ROSDiscourse,Confusion about EOL for Indigo,community OK with me updating  to remove the green highlight from the Indigo row in the table?I,0,0,0,0,1,,
ROSD49,https://discourse.ros.org/t/safety-working-group-meeting-and-call-for-participation/12489,ROSDiscourse,Safety working group meeting and call for participation,will be as much about trying to inject some energy back into the group as anything else.The saf,0,1,0,0,0,,
ROSD50,https://discourse.ros.org/t/using-ros-in-commercial-openembedded-environment/1428,ROSDiscourse,Using ROS in commercial OpenEmbedded environment?,akin to placing an aircraft carrier nuclear power plant into a speed boat.  I’m very happy and,0,0,1,0,0,,
ROSD51,https://discourse.ros.org/t/low-level-encapsulation-of-mavros-messages-using-mavlink/7247,ROSDiscourse,Low level encapsulation of Mavros messages using MAVLink,"he server side I plan to implement on a more powerful “Companion Computer”, probably a Raspberr",0,0,1,0,0,,
ROSD52,https://discourse.ros.org/t/net-bindings-for-ros2/460,ROSDiscourse,.NET bindings for ROS2,"mechanism for using native libraries is more powerful, it may not make sense to use the same de",0,0,1,0,0,,
ROSD53,https://discourse.ros.org/t/zethus-browser-based-realtime-ros-data-visualization/10489,ROSDiscourse,Zethus - Browser based realtime ROS data visualization,s available We extensively use them to build powerful browser-based user interfaces to develop,0,0,2,0,0,,
ROSD54,https://discourse.ros.org/t/lecture-notes-specifically-for-programming-robots-with-ros/5729,ROSDiscourse,"Lecture notes specifically for ""Programming Robots with ROS""","ion: have any of you developed course notes, powerpoints or similar to go with that particular ",0,0,1,0,0,,
ROSD55,https://discourse.ros.org/t/information-for-those-using-raspberry-pi-ubuntu-xenial-and-ros-kinetic/1205,ROSDiscourse,"Information for those using Raspberry Pi, Ubuntu Xenial, and ROS Kinetic",mes freeze during boot. Several re-attempts (power cycling) and the system may eventually boot.,0,0,1,0,0,,
ROSD56,https://discourse.ros.org/t/sbs-smart-battery-system-smbus-over-usb/12836,ROSDiscourse,SBS (Smart Battery System) SMBus over USB?,"ed, but I’m trying to integrate a SBS laptop battery into a ROS-based robot I’m building, and it’",3,0,0,0,0,,
ROSD57,https://discourse.ros.org/t/arm-techcon-best-contribution-to-an-open-source-software-project/3129,ROSDiscourse,ARM TechCon: Best Contribution to an Open-Source Software Project,"m October 24 to 26.

OpenCR in TurtleBot3 is powered by an Arm Cortex-M7 and be able to connect",1,0,1,0,0,,
ROSD58,https://discourse.ros.org/t/ros-client-library-for-the-go-programming-language-golang/12792,ROSDiscourse,ROS client library for the Go programming language (Golang),"opics, services, messages) and it is already powering some nodes in production-grade environmen",0,0,1,0,0,,
ROSD59,https://discourse.ros.org/t/techrepublic-the-hottest-thing-in-robotics-is-an-open-source-project-youve-never-heard-of/12229,ROSDiscourse,TechRepublic: The hottest thing in robotics is an open source project you've never heard of,"sn't get a lot of press, but it increasingly powers the robots upon which industrial automation",0,0,1,0,0,,
ROSD60,https://discourse.ros.org/t/workshop-on-security-and-privacy-in-robotics-call-for-contributions/12780,ROSDiscourse,Workshop on Security and Privacy in Robotics - Call for contributions,"hould list any special requirements
(tables, power, wireless connectivity, etc.) n a separate p",0,0,1,0,0,,
ROSD61,https://discourse.ros.org/t/best-arm-board-for-ros/152,ROSDiscourse,Best ARM board for ROS,"ne black.  beaglebone does not have the horsepower to run ROS (moveit,etc).  I think that a qua",0,0,7,0,0,,
ROSD62,https://discourse.ros.org/t/roscon-jp-2019-report/10860,ROSDiscourse,ROSCon JP 2019 report,"or ROS going through a transition to greater power (and greater responsibility?), this talk was",0,0,1,0,0,,
ROSD63,https://discourse.ros.org/t/featured-roscon-2018-talks/9071,ROSDiscourse,Featured ROSCon 2018 Talks,"e give a short introduction to Mozilla rr, a powerful C/C++ debugging tool for Linux, and show ",0,0,2,0,0,,
ROSD64,https://discourse.ros.org/t/ros-answers-needs-your-help/5147,ROSDiscourse,ROS Answers needs your help,"thanks  for bringing this up and for all the energy you put into answering questions lately, I’m",0,1,0,0,0,,
ROSD65,https://discourse.ros.org/t/awesome-list-for-professional-robotic-development-with-ros-in-c-and-python/11216,ROSDiscourse,Awesome list for professional robotic development with ROS in C++ and Python,Just a bunch of powerful robotic resources and tools for professio,0,0,1,0,0,,
ROSD66,https://discourse.ros.org/t/which-board-microprocessor-should-i-use-i-want-to-use-ros-kinetic-on-ubuntu-16-04-along-with-packages-like-move-base-laser-scan-matcher-for-indoor-autonomous-navigation/11488,ROSDiscourse,"Which board/microprocessor should I use? I want to use ROS Kinetic on Ubuntu 16.04, along with packages like move_base, laser_scan_matcher for indoor autonomous navigation","ay  that much about the required computation power.
E.g., what kind of LIDAR are you using (how",0,1,2,0,0,,
ROSD67,https://discourse.ros.org/t/announcing-lama-an-alternative-localization-and-mapping-package/10916,ROSDiscourse,Announcing LaMa: An alternative localization and mapping package,"nd enables a number of applications on lower power machines, though being able to scale from sm",0,0,1,0,0,,
ROSD68,https://discourse.ros.org/t/discourse-a-very-powerful-mailinglist/389,ROSDiscourse,Discourse - A very powerful mailinglist,"nd categorizing, but that’s what discourse empowers the user to do.To answer your specific ques",0,0,1,0,0,,
ROSD69,https://discourse.ros.org/t/intel-euclid-development-kit-is-open-for-pre-order/1828,ROSDiscourse,Intel® Euclid™ Development Kit is open for pre-order!,"ensors in a very small size. It comes with a battery so it is completely stand alone.
You can che",1,0,0,0,0,,
ROSD70,https://discourse.ros.org/t/chat-for-ros-on-robotics-stackexchange-com/1841,ROSDiscourse,Chat for ROS on robotics.stackexchange.com,IRC chats. If I had to bet on a growing and sustainable community I would not do it on the IRC cha,0,0,0,1,0,,
ROSD71,https://discourse.ros.org/t/new-package-for-mobile-manipulation-planning/1385,ROSDiscourse,New package for mobile manipulation planning,of interest. The desired EE pose is shown in green. The second image shows the freshly-calculat,0,0,0,0,1,,
ROSD72,https://discourse.ros.org/t/robot-as-a-service-anyone/4463,ROSDiscourse,"Robot As a Service, anyone?","the total flexibility of ROS, but still very powerful, and for a specific more limited domain, ",0,0,2,0,0,,
ROSD73,https://discourse.ros.org/t/self-driving-racing-challenge-car-platform-provided-compete-connect-grow/4431,ROSDiscourse,"Self-driving Racing Challenge, car platform provided. Compete ●Connect● Grow"," long as it is self-driving small-sized cars powered by Raspberry Pi, such as Donkey car  or us",0,0,1,0,0,,
ROSD74,https://discourse.ros.org/t/ros-wiki-announcing-extended-ci-badges-in-package-headers/4930,ROSDiscourse,ROS Wiki: announcing extended CI badges in package headers,and the build ended successfully will get a green badge and a check-mark:All tests pass and Je,0,0,0,0,1,,
ROSD75,https://discourse.ros.org/t/roscon-2018-diversity-scholarships-applications-open/4552,ROSDiscourse,ROSCon 2018 Diversity Scholarships: Applications Open,tend my first robotics conference and feel empowered to keep working to try and make a positive,0,0,1,0,0,,
ROSD76,https://discourse.ros.org/t/please-ask-all-questions-on-ros-answers/4259,ROSDiscourse,Please ask all questions on ROS answers,"hat the volume has increased, that becomes unsustainable, so we now request asking any ROS question",0,0,0,1,0,,
ROSD77,https://discourse.ros.org/t/magni-and-loki-available-for-pre-ordering/4145,ROSDiscourse,Magni and Loki available for pre-ordering!,not months' on Indiegogo.We are building ROS-powered robots to enable you to build your robot a,0,0,1,0,0,,
ROSD78,https://discourse.ros.org/t/announcing-turtlebot3-software-v1-0-0-and-firmware-v1-2-0-update/4888,ROSDiscourse,Announcing TurtleBot3 Software(v1.0.0) and Firmware(v1.2.0) Update,pared software and firmware updates and more powerful WiKi This update considered may issues an,0,0,1,0,0,,
ROSD79,https://discourse.ros.org/t/why-dont-we-use-ros/3161,ROSDiscourse,Why don't we use ROS?,components (Let’s take for example the very powerful TF2 components). Furthermore (as stated i,0,0,1,0,0,,
